Ad_Group1,Dealer Name(match),Count,Est_IHD,Total_Calls,Retailer_Cost
BULK,213887,5000,2017-01-02,26.0,2245.5
GENERIC,213524,4921,2017-01-02,23.0,1943.8
GENERIC,0,5000,2017-01-02,31.0,1975.0
BULK,69144,2500,2017-01-02,7.0,897.5
BULK,76202,5000,2017-01-02,45.0,2245.5
BULK,69147,3000,2017-01-02,13.0,1269.9
BULK,71258,3000,2017-01-02,77.0,1396.8
GENERIC,69213,3000,2017-01-02,52.0,1077.0
GENERIC,213309,6000,2017-01-02,35.0,2370.0
GENERIC,72738,3000,2017-01-02,43.0,1269.9
GENERIC,0,3000,2017-01-02,7.0,1185.0
BULK,71627,5000,2017-01-09,24.0,2041.5
GENERIC,213569,5000,2017-01-09,16.0,1975.0
GENERIC,213524,4921,2017-01-09,48.0,1943.8
GENERIC,0,5000,2017-01-09,28.0,1975.0
RADIUS,69908,375,2017-01-09,2.0,183.75
RADIUS,26337,300,2017-01-09,,225.0
RADIUS,7.01454e+09,2175,2017-01-09,4.0,1631.25
RADIUS,0,375,2017-01-09,6.0,183.75
RADIUS,53005,375,2017-01-09,1.0,240.0
RADIUS,16880,375,2017-01-09,3.0,183.75
RADIUS,16012,75,2017-01-09,1.0,56.25
RADIUS,213430,875,2017-01-09,,560.0
RADIUS,213632,750,2017-01-09,1.0,480.0
BULK,77248,3000,2017-01-09,17.0,1396.8
BULK,69144,2500,2017-01-09,5.0,897.5
BULK,69147,3000,2017-01-09,19.0,1269.9
BULK,65845,3000,2017-01-09,15.0,1396.8
GENERIC,25917,3000,2017-01-09,6.0,1185.0
RADIUS,73093,125,2017-01-09,,124.42
RADIUS,7.00004e+09,375,2017-01-09,1.0,218.18
RADIUS,73311,250,2017-01-09,1.0,160.0
RADIUS,218031,125,2017-01-09,,72.73
RADIUS,72991,1125,2017-01-09,1.0,501.19
GENERIC,213569,7500,2017-01-16,40.0,2962.5
GENERIC,213309,5000,2017-01-16,22.0,1975.0
RADIUS,26337,150,2017-01-16,1.0,112.5
RADIUS,7.01454e+09,1425,2017-01-16,5.0,1068.75
RADIUS,31924,125,2017-01-16,,80.0
RADIUS,53005,750,2017-01-16,6.0,480.0
RADIUS,16880,250,2017-01-16,6.0,160.0
RADIUS,213430,125,2017-01-16,1.0,80.0
RADIUS,7.01331e+09,125,2017-01-16,,80.0
RADIUS,30718,375,2017-01-16,3.0,183.75
RADIUS,64925,125,2017-01-16,8.0,80.0
RADIUS,213632,125,2017-01-16,1.0,80.0
RADIUS,69073,4000,2017-01-16,33.0,1782.0
BULK,84325,3000,2017-01-16,14.0,1396.8
BULK,77711,3000,2017-01-16,10.0,1269.9
GENERIC,69144,2500,2017-01-16,10.0,897.5
GENERIC,73292,3000,2017-01-16,46.0,1077.0
GENERIC,25917,3000,2017-01-16,21.0,1185.0
RADIUS,7.00004e+09,125,2017-01-16,1.0,72.73
RADIUS,86368,125,2017-01-16,3.0,72.73
RADIUS,218031,250,2017-01-16,2.0,145.45
RADIUS,71258,3000,2017-01-16,18.0,1396.8
BULK,213887,5000,2017-01-23,31.0,2245.5
GENERIC,69064,5000,2017-01-23,48.0,1795.0
GENERIC,213569,5000,2017-01-23,33.0,1975.0
GENERIC,213524,10861,2017-01-23,77.0,4290.1
GENERIC,0,5000,2017-01-23,33.0,1975.0
RADIUS,214640,250,2017-01-23,2.0,160.0
RADIUS,26337,75,2017-01-23,,56.25
RADIUS,7.01454e+09,1500,2017-01-23,21.0,1125.0
RADIUS,7.0002e+09,250,2017-01-23,,160.0
RADIUS,31924,125,2017-01-23,1.0,80.0
RADIUS,53005,375,2017-01-23,,240.0
RADIUS,16880,250,2017-01-23,5.0,160.0
RADIUS,16012,75,2017-01-23,1.0,56.25
RADIUS,213632,125,2017-01-23,3.0,80.0
RADIUS,69073,3000,2017-01-23,86.0,1336.5
BULK,75894,3000,2017-01-23,17.0,1269.9
GENERIC,69141,3000,2017-01-23,19.0,1077.0
GENERIC,69144,2500,2017-01-23,78.0,897.5
GENERIC,213309,5000,2017-01-23,62.0,1975.0
RADIUS,73093,250,2017-01-23,,160.0
RADIUS,70396,375,2017-01-23,2.0,167.03
RADIUS,7.00004e+09,125,2017-01-23,2.0,72.73
RADIUS,73311,125,2017-01-23,9.0,72.73
RADIUS,86368,125,2017-01-23,1.0,72.73
RADIUS,218031,125,2017-01-23,,72.73
BULK,213524,10860,2017-01-30,38.0,4289.7
GENERIC,69064,5000,2017-01-30,58.0,1795.0
GENERIC,213569,5000,2017-01-30,60.0,1975.0
GENERIC,0,3000,2017-01-30,31.0,1185.0
RADIUS,26337,75,2017-01-30,,56.25
RADIUS,7.01454e+09,900,2017-01-30,4.0,675.0
RADIUS,7.0002e+09,125,2017-01-30,4.0,80.0
RADIUS,53005,125,2017-01-30,1.0,80.0
RADIUS,16880,125,2017-01-30,,80.0
BULK,77711,3000,2017-01-30,12.0,1269.9
BULK,77711,3000,2017-01-30,10.0,1269.9
BULK,69149,3000,2017-01-30,19.0,1269.9
BULK,72738,5000,2017-01-30,28.0,2041.5
GENERIC,213707,3000,2017-01-30,20.0,1185.0
GENERIC,0,3000,2017-01-30,41.0,1185.0
GENERIC,25917,3000,2017-01-30,26.0,1185.0
RADIUS,73093,125,2017-01-30,2.0,124.42
RADIUS,70396,375,2017-01-30,1.0,167.03
RADIUS,69144,2000,2017-01-30,2.0,891.0
BULK,75894,3000,2017-02-06,38.0,1269.9
BULK,0,10275,2017-02-06,55.0,3989.78
GENERIC,213309,5000,2017-02-06,35.0,1975.0
BULK,213627,3000,2017-02-06,7.0,1396.8
BULK,43450,5000,2017-02-06,19.0,2245.5
GENERIC,69213,3000,2017-02-06,33.0,1077.0
RADIUS,26337,75,2017-02-06,,56.25
RADIUS,7.01454e+09,300,2017-02-06,2.0,225.0
RADIUS,53005,125,2017-02-06,,80.0
RADIUS,80366,750,2017-02-06,1.0,367.5
RADIUS,69144,2000,2017-02-06,10.0,891.0
RADIUS,69157,400,2017-02-06,5.0,178.2
RADIUS,84428,2000,2017-02-06,18.0,891.0
RADIUS,72086,1200,2017-02-06,,534.6
RADIUS,82875,600,2017-02-06,6.0,267.3
RADIUS,76202,5000,2017-02-06,62.0,2245.5
RADIUS,84076,1400,2017-02-06,9.0,623.7
RADIUS,0,400,2017-02-06,12.0,178.2
BULK,77248,3000,2017-02-13,22.0,1396.8
BULK,16176,3000,2017-02-13,24.0,1396.8
BULK,42246,4295,2017-02-13,16.0,1999.75
BULK,31447,3000,2017-02-13,19.0,1396.8
BULK,16559,3000,2017-02-13,10.0,1396.8
BULK,214558,4773,2017-02-13,8.0,2222.31
BULK,7.02965e+09,5000,2017-02-13,40.0,2245.5
BULK,71627,5000,2017-02-13,15.0,2041.5
GENERIC,69213,3000,2017-02-13,53.0,1077.0
RADIUS,7.01454e+09,975,2017-02-13,3.0,731.25
RADIUS,53005,125,2017-02-13,,80.0
RADIUS,16880,125,2017-02-13,,80.0
RADIUS,7.01331e+09,125,2017-02-13,2.0,80.0
RADIUS,80366,500,2017-02-13,1.0,245.0
RADIUS,213632,750,2017-02-13,1.0,480.0
BULK,68611,8040,2017-02-13,76.0,3610.76
BULK,75894,3000,2017-02-13,14.0,1269.9
GENERIC,213569,7500,2017-02-13,23.0,2962.5
GENERIC,73292,6000,2017-02-13,53.0,2154.0
GENERIC,213309,3000,2017-02-13,75.0,1185.0
GENERIC,213632,3000,2017-02-13,22.0,1185.0
RADIUS,73093,250,2017-02-13,1.0,160.0
RADIUS,69080,375,2017-02-13,4.0,167.06
RADIUS,7.00004e+09,125,2017-02-13,1.0,72.73
RADIUS,70391,125,2017-02-13,,72.73
RADIUS,70391,125,2017-02-13,9.0,72.73
RADIUS,218031,125,2017-02-13,,72.73
RADIUS,72991,375,2017-02-13,4.0,183.75
RADIUS,69144,2000,2017-02-13,5.0,891.0
RADIUS,69073,3000,2017-02-13,21.0,1336.5
BULK,214558,4773,2017-02-20,15.0,2222.31
BULK,213368,3000,2017-02-20,12.0,1396.8
GENERIC,69064,6000,2017-02-20,27.0,2154.0
GENERIC,213569,5000,2017-02-20,74.0,1975.0
GENERIC,213524,10840,2017-02-20,43.0,4281.8
GENERIC,0,5000,2017-02-20,23.0,1975.0
RADIUS,26337,150,2017-02-20,3.0,112.5
RADIUS,7.01454e+09,1050,2017-02-20,2.0,787.5
RADIUS,53005,250,2017-02-20,2.0,160.0
RADIUS,16880,125,2017-02-20,1.0,80.0
RADIUS,30718,750,2017-02-20,13.0,183.75
RADIUS,213632,625,2017-02-20,3.0,400.0
RADIUS,70519,600,2017-02-20,5.0,267.3
RADIUS,69144,2000,2017-02-20,16.0,891.0
RADIUS,69073,3000,2017-02-20,84.0,1336.5
BULK,226548,3000,2017-02-20,6.0,1396.8
BULK,77711,3000,2017-02-20,9.0,1396.8
BULK,75894,3000,2017-02-20,14.0,1269.9
GENERIC,213309,3000,2017-02-20,39.0,1185.0
GENERIC,0,5000,2017-02-20,15.0,1975.0
GENERIC,25917,3000,2017-02-20,21.0,1185.0
RADIUS,72097,375,2017-02-20,4.0,167.06
RADIUS,72601,125,2017-02-20,,80.0
BULK,69211,6286,2017-02-27,35.0,2566.57
GENERIC,69064,6000,2017-02-27,57.0,2154.0
GENERIC,213524,5897,2017-02-27,75.0,2329.32
GENERIC,0,5000,2017-02-27,68.0,1975.0
RADIUS,26337,75,2017-02-27,,56.25
RADIUS,7.01454e+09,450,2017-02-27,7.0,337.5
RADIUS,53005,125,2017-02-27,,80.0
RADIUS,16012,75,2017-02-27,,56.25
RADIUS,213632,250,2017-02-27,,160.0
BULK,213627,3000,2017-02-27,27.0,1396.8
BULK,16559,3000,2017-02-27,29.0,1396.8
GENERIC,69143,3000,2017-02-27,25.0,1077.0
GENERIC,213309,5000,2017-02-27,106.0,1975.0
GENERIC,30541,3000,2017-02-27,30.0,1185.0
RADIUS,70381,375,2017-02-27,1.0,167.06
RADIUS,70029,250,2017-02-27,1.0,111.38
RADIUS,70396,375,2017-02-27,3.0,167.03
RADIUS,86368,125,2017-02-27,,72.73
RADIUS,218031,250,2017-02-27,1.0,145.45
RADIUS,69144,2000,2017-02-27,7.0,891.0
RADIUS,84685,2000,2017-02-27,16.0,891.0
GENERIC,69141,10000,2017-03-06,49.0,3590.0
GENERIC,69213,3000,2017-03-06,43.0,1077.0
RADIUS,7.00004e+09,250,2017-03-06,4.0,145.45
RADIUS,0,375,2017-03-06,3.0,218.17
RADIUS,72097,375,2017-03-06,1.0,167.06
RADIUS,86368,250,2017-03-06,3.0,145.45
RADIUS,218031,125,2017-03-06,,72.73
BULK,26356,3000,2017-03-06,10.0,1396.8
BULK,213368,3000,2017-03-06,20.0,1396.8
BULK,16696,5000,2017-03-06,29.0,2245.5
BULK,73311,3000,2017-03-06,10.0,1269.9
BULK,0,3000,2017-03-06,14.0,1396.8
GENERIC,213432,5000,2017-03-06,18.0,2245.5
GENERIC,30541,3000,2017-03-06,25.0,1185.0
GENERIC,25917,3000,2017-03-06,22.0,1185.0
GENERIC,59272,5056,2017-03-06,,1643.2
RADIUS,26337,150,2017-03-06,,112.5
RADIUS,77460,75,2017-03-06,3.0,56.25
RADIUS,53005,1375,2017-03-06,3.0,880.0
RADIUS,16880,750,2017-03-06,2.0,480.0
RADIUS,16012,75,2017-03-06,1.0,56.25
RADIUS,213733,125,2017-03-06,3.0,80.0
RADIUS,45094,250,2017-03-06,2.0,122.5
RADIUS,59272,375,2017-03-06,,240.0
RADIUS,80366,250,2017-03-06,,122.5
RADIUS,64925,125,2017-03-06,,80.0
RADIUS,213632,875,2017-03-06,3.0,560.0
RADIUS,69144,2000,2017-03-06,12.0,891.0
RADIUS,69073,3000,2017-03-06,126.0,1336.5
GENERIC,69064,6000,2017-03-13,58.0,2154.0
BULK,88767,3000,2017-03-13,20.0,1396.8
BULK,75894,3000,2017-03-13,33.0,1269.9
BULK,72738,3000,2017-03-13,14.0,1269.9
GENERIC,73292,3000,2017-03-13,18.0,1077.0
GENERIC,30541,3000,2017-03-13,21.0,1185.0
RADIUS,70029,500,2017-03-13,,222.75
RADIUS,0,375,2017-03-13,13.0,183.75
RADIUS,7.00004e+09,125,2017-03-13,1.0,72.73
RADIUS,53005,125,2017-03-13,,80.0
RADIUS,16880,250,2017-03-13,1.0,160.0
RADIUS,0,125,2017-03-13,1.0,72.73
RADIUS,72601,125,2017-03-13,,72.73
RADIUS,213643,250,2017-03-13,1.0,122.5
RADIUS,59272,125,2017-03-13,2.0,80.0
RADIUS,67411,375,2017-03-13,,183.75
RADIUS,64925,125,2017-03-13,2.0,80.0
RADIUS,213632,875,2017-03-13,5.0,560.0
RADIUS,69144,2000,2017-03-13,14.0,891.0
BULK,77248,5000,2017-03-20,20.0,2245.5
BULK,69071,3000,2017-03-20,22.0,1269.9
BULK,72393,5000,2017-03-20,33.0,2245.5
BULK,7.02965e+09,10000,2017-03-20,42.0,4271.0
BULK,71627,3000,2017-03-20,17.0,1269.9
BULK,26337,5000,2017-03-20,19.0,2245.5
BULK,76983,3000,2017-03-20,33.0,1396.8
BULK,213887,5000,2017-03-20,22.0,2245.5
BULK,0,3000,2017-03-20,13.0,1396.8
BULK,28797,3000,2017-03-20,23.0,1396.8
BULK,69149,3000,2017-03-20,5.0,1269.9
BULK,26513,3000,2017-03-20,19.0,1396.8
BULK,16176,3000,2017-03-20,12.0,1396.8
BULK,213368,3000,2017-03-20,6.0,1396.8
BULK,76202,5000,2017-03-20,46.0,2245.5
BULK,42166,3000,2017-03-20,23.0,1396.8
BULK,42246,3000,2017-03-20,13.0,1396.8
BULK,31447,3000,2017-03-20,9.0,1396.8
BULK,41731,3000,2017-03-20,23.0,1396.8
BULK,62668,3000,2017-03-20,8.0,1396.8
BULK,75419,3000,2017-03-20,12.0,1396.8
BULK,51338,3000,2017-03-20,17.0,1396.8
BULK,213524,8605,2017-03-20,10.0,3398.97
GENERIC,25917,3000,2017-03-20,12.0,1185.0
GENERIC,0,5000,2017-03-20,53.0,1975.0
RADIUS,70029,250,2017-03-20,4.0,111.38
RADIUS,73093,125,2017-03-20,2.0,124.42
RADIUS,26337,75,2017-03-20,1.0,56.25
RADIUS,0,250,2017-03-20,1.0,145.45
RADIUS,16012,75,2017-03-20,2.0,56.25
RADIUS,86368,375,2017-03-20,3.0,218.17
RADIUS,7.01331e+09,125,2017-03-20,1.0,80.0
RADIUS,213643,500,2017-03-20,,245.0
RADIUS,67411,375,2017-03-20,13.0,183.75
RADIUS,213632,375,2017-03-20,3.0,240.0
RADIUS,69144,2000,2017-03-20,20.0,891.0
RADIUS,42245,600,2017-03-20,5.0,294.0
BULK,26356,3000,2017-03-20,9.0,1396.8
BULK,68611,10926,2017-03-20,37.0,4666.49
BULK,213627,3000,2017-03-20,7.0,1396.8
BULK,54578,5000,2017-03-20,40.0,2245.5
BULK,75885,3000,2017-03-20,7.0,1396.8
BULK,7.02642e+09,3000,2017-03-20,10.0,1396.8
BULK,213403,3000,2017-03-20,10.0,1396.8
BULK,213309,6500,2017-03-20,14.0,2919.15
BULK,43450,5000,2017-03-20,23.0,2245.5
BULK,72738,3000,2017-03-20,14.0,1269.9
BULK,213632,3000,2017-03-20,8.0,1396.8
GENERIC,213707,10000,2017-03-20,106.0,3950.0
GENERIC,30541,3000,2017-03-20,20.0,1185.0
BULK,37441,3000,2017-03-20,12.0,1396.8
BULK,53005,5000,2017-03-20,15.0,2245.5
BULK,16880,3000,2017-03-20,13.0,1396.8
BULK,1781,5000,2017-03-27,7.0,2245.5
BULK,37184,3000,2017-03-27,15.0,1396.8
BULK,0,3000,2017-03-27,10.0,1396.8
BULK,69141,20000,2017-03-27,51.0,7366.0
BULK,45500,3000,2017-03-27,2.0,1396.8
BULK,75894,10000,2017-03-27,48.0,3883.0
BULK,213524,9353,2017-03-27,16.0,3694.43
RADIUS,0,125,2017-03-27,2.0,72.73
RADIUS,72097,375,2017-03-27,2.0,167.06
RADIUS,218031,125,2017-03-27,1.0,72.73
RADIUS,69073,7000,2017-03-27,47.0,3118.5
BULK,0,3000,2017-03-27,15.0,1269.9
BULK,69213,5000,2017-03-27,8.0,2041.5
BULK,53005,5000,2017-03-27,23.0,2245.5
BULK,213309,4000,2017-03-27,14.0,1862.4
BULK,71258,3000,2017-03-27,10.0,1396.8
BULK,213388,3000,2017-03-27,16.0,1396.8
RADIUS,26337,225,2017-03-27,2.0,168.75
RADIUS,53005,250,2017-03-27,,160.0
RADIUS,16880,125,2017-03-27,4.0,80.0
RADIUS,16012,225,2017-03-27,4.0,168.75
RADIUS,213643,250,2017-03-27,,122.5
RADIUS,64925,250,2017-03-27,6.0,145.45
RADIUS,213632,250,2017-03-27,1.0,160.0
BULK,76352,3000,2017-04-03,4.0,1396.8
BULK,31047,5000,2017-04-03,10.0,2245.5
BULK,71258,3000,2017-04-03,23.0,1396.8
BULK,62668,3000,2017-04-03,20.0,1396.8
BULK,71803,3000,2017-04-03,8.0,1269.9
BULK,213887,5000,2017-04-03,22.0,2245.5
BULK,45500,3000,2017-04-03,11.0,1396.8
BULK,75885,5000,2017-04-03,18.0,2245.5
BULK,75894,3000,2017-04-03,10.0,1269.9
BULK,7.00001e+09,8980,2017-04-03,34.0,4032.92
BULK,213524,11858,2017-04-03,20.0,4683.91
GENERIC,69064,6000,2017-04-03,27.0,2154.0
GENERIC,213569,7500,2017-04-03,31.0,2962.5
GENERIC,213309,4500,2017-04-03,20.0,1777.5
GENERIC,30541,3000,2017-04-03,28.0,1185.0
BULK,212612,3000,2017-04-03,8.0,1269.9
BULK,69213,3000,2017-04-03,16.0,1396.8
BULK,69147,3000,2017-04-03,6.0,1269.9
BULK,70378,5000,2017-04-03,19.0,2041.5
GENERIC,25917,3000,2017-04-03,16.0,1185.0
GENERIC,7.00001e+09,3700,2017-04-10,,1461.5
GENERIC,69064,5000,2017-04-10,81.0,1795.0
BULK,69213,3000,2017-04-10,19.0,1396.8
BULK,16696,4150,2017-04-10,14.0,1863.77
BULK,69147,3000,2017-04-10,9.0,1269.9
BULK,70993,3000,2017-04-10,3.0,1396.8
BULK,31447,3000,2017-04-10,26.0,1396.8
GENERIC,64925,5000,2017-04-10,107.0,1975.0
RADIUS,70029,250,2017-04-10,4.0,111.38
RADIUS,73093,250,2017-04-10,,145.45
RADIUS,26337,75,2017-04-10,1.0,56.25
RADIUS,78930,75,2017-04-10,,56.25
RADIUS,73235,375,2017-04-10,1.0,281.25
RADIUS,7.00004e+09,125,2017-04-10,,72.73
RADIUS,0,625,2017-04-10,8.0,363.63
RADIUS,213907,125,2017-04-10,2.0,80.0
RADIUS,16012,150,2017-04-10,2.0,112.5
RADIUS,72097,1125,2017-04-10,1.0,551.25
RADIUS,73311,250,2017-04-10,,145.45
RADIUS,72601,375,2017-04-10,1.0,218.17
RADIUS,86368,125,2017-04-10,2.0,72.73
RADIUS,218031,125,2017-04-10,1.0,72.73
RADIUS,69217,125,2017-04-10,3.0,80.0
RADIUS,69082,1125,2017-04-10,,551.25
RADIUS,30718,375,2017-04-10,5.0,183.75
RADIUS,213345,250,2017-04-10,,160.0
RADIUS,59272,125,2017-04-10,1.0,80.0
RADIUS,79633,375,2017-04-10,2.0,167.06
RADIUS,80366,250,2017-04-10,,122.5
RADIUS,213632,1875,2017-04-10,4.0,1200.0
BULK,68611,10000,2017-04-10,38.0,4271.0
GENERIC,0,10000,2017-04-17,67.0,3950.0
RADIUS,213345,125,2017-04-17,,80.0
RADIUS,69073,3000,2017-04-17,6.0,1336.5
BULK,54578,5000,2017-04-17,16.0,2245.5
BULK,16696,3000,2017-04-17,11.0,1347.3
BULK,75894,3000,2017-04-17,25.0,1269.9
BULK,69147,3000,2017-04-17,10.0,1269.9
BULK,72738,5000,2017-04-17,15.0,2041.5
GENERIC,30541,3000,2017-04-17,30.0,1185.0
GENERIC,213632,5000,2017-04-17,43.0,1975.0
GENERIC,25917,3000,2017-04-17,63.0,1185.0
RADIUS,73093,125,2017-04-17,,124.42
RADIUS,78930,150,2017-04-17,4.0,112.5
RADIUS,73235,150,2017-04-17,3.0,112.5
RADIUS,7.00004e+09,125,2017-04-17,,72.73
RADIUS,0,125,2017-04-17,7.0,80.0
RADIUS,73311,125,2017-04-17,,72.73
RADIUS,218031,125,2017-04-17,,72.73
RADIUS,213643,250,2017-04-17,,122.5
RADIUS,45094,250,2017-04-17,,122.5
RADIUS,59272,375,2017-04-17,1.0,240.0
RADIUS,213632,500,2017-04-17,4.0,320.0
RADIUS,73292,200,2017-04-17,10.0,89.1
RADIUS,65845,1600,2017-04-17,12.0,784.0
RADIUS,65845,400,2017-04-17,7.0,196.0
RADIUS,45094,1000,2017-04-17,7.0,490.0
BULK,77248,3000,2017-04-24,10.0,1396.8
BULK,88767,3000,2017-04-24,18.0,1396.8
BULK,37184,3000,2017-04-24,9.0,1396.8
BULK,76202,5000,2017-04-24,41.0,2245.5
BULK,16559,3000,2017-04-24,23.0,1396.8
BULK,51006,679,2017-04-24,7.0,383.64
GENERIC,69143,3000,2017-04-24,9.0,1077.0
RADIUS,69071,2000,2017-04-24,28.0,891.0
RADIUS,69073,3200,2017-04-24,23.0,1425.6
BULK,78930,3000,2017-04-24,9.0,1396.8
BULK,28797,3000,2017-04-24,13.0,1396.8
BULK,77711,3000,2017-04-24,,1396.8
BULK,71172,5566,2017-04-24,23.0,2499.69
GENERIC,213309,5000,2017-04-24,16.0,1975.0
RADIUS,214640,125,2017-04-24,1.0,80.0
RADIUS,36197,375,2017-04-24,,183.75
RADIUS,26337,525,2017-04-24,,39.38
RADIUS,73235,150,2017-04-24,1.0,112.5
RADIUS,24146,375,2017-04-24,1.0,240.0
RADIUS,7.00004e+09,125,2017-04-24,1.0,72.73
RADIUS,16012,75,2017-04-24,,56.25
RADIUS,73311,125,2017-04-24,,72.73
RADIUS,72601,125,2017-04-24,1.0,72.73
RADIUS,86368,250,2017-04-24,3.0,145.45
RADIUS,213643,250,2017-04-24,1.0,122.5
RADIUS,45094,250,2017-04-24,2.0,122.5
RADIUS,30718,375,2017-04-24,5.0,183.75
RADIUS,213345,125,2017-04-24,4.0,80.0
RADIUS,80366,500,2017-04-24,2.0,245.0
RADIUS,213632,625,2017-04-24,4.0,400.0
RADIUS,0,2600,2017-04-24,,1274.0
BULK,71803,3000,2017-05-01,11.0,1269.9
BULK,69338,3000,2017-05-01,9.0,1269.9
BULK,69156,10000,2017-05-01,21.0,3883.0
BULK,7.0002e+09,3000,2017-05-01,1.0,1396.8
BULK,0,4724,2017-05-01,13.0,1999.67
BULK,72738,3000,2017-05-01,8.0,1269.9
RADIUS,71163,750,2017-05-01,3.0,367.5
RADIUS,0,125,2017-05-01,1.0,72.73
RADIUS,73311,250,2017-05-01,,145.45
RADIUS,86368,625,2017-05-01,,363.63
RADIUS,213566,2000,2017-05-01,11.0,980.0
RADIUS,79633,4200,2017-05-01,12.0,1871.1
BULK,16696,6513,2017-05-01,17.0,2924.99
BULK,45094,3000,2017-05-01,8.0,1396.8
BULK,41731,3000,2017-05-01,8.0,1396.8
BULK,62668,6000,2017-05-01,12.0,2694.6
BULK,213632,3000,2017-05-01,7.0,1396.8
BULK,51006,679,2017-05-01,2.0,383.64
GENERIC,69157,5000,2017-05-01,38.0,1795.0
GENERIC,213309,3000,2017-05-01,26.0,1185.0
GENERIC,30541,3000,2017-05-01,18.0,1185.0
RADIUS,73235,75,2017-05-01,,56.25
RADIUS,213643,250,2017-05-01,2.0,122.5
RADIUS,45094,250,2017-05-01,2.0,122.5
RADIUS,80366,1000,2017-05-01,2.0,490.0
RADIUS,213632,375,2017-05-01,,240.0
RADIUS,69209,1200,2017-05-01,8.0,534.6
BULK,76983,3000,2017-05-08,8.0,1396.8
BULK,16176,3000,2017-05-08,24.0,1396.8
BULK,76202,3000,2017-05-08,32.0,1396.8
BULK,42245,3000,2017-05-08,17.0,1396.8
GENERIC,213524,13937,2017-05-08,95.0,5505.12
RADIUS,73093,375,2017-05-08,,218.18
RADIUS,7.00004e+09,125,2017-05-08,,72.73
RADIUS,88348,75,2017-05-08,,51.14
RADIUS,73311,250,2017-05-08,,145.45
RADIUS,72601,125,2017-05-08,,72.73
RADIUS,86368,375,2017-05-08,2.0,218.18
RADIUS,218031,125,2017-05-08,,72.73
RADIUS,69073,3000,2017-05-08,35.0,1336.5
BULK,77711,3000,2017-05-08,4.0,1396.8
BULK,69213,3000,2017-05-08,21.0,1269.9
BULK,51006,679,2017-05-08,10.0,383.64
BULK,7.00001e+09,2044,2017-05-08,23.0,1154.86
GENERIC,213432,3000,2017-05-08,50.0,1396.8
GENERIC,213309,5063,2017-05-08,26.0,1999.89
RADIUS,36197,375,2017-05-08,2.0,183.75
RADIUS,69908,1125,2017-05-08,,551.25
RADIUS,26337,300,2017-05-08,,225.0
RADIUS,45500,125,2017-05-08,,80.0
RADIUS,65925,1500,2017-05-08,3.0,735.0
RADIUS,73235,150,2017-05-08,,112.5
RADIUS,24146,250,2017-05-08,1.0,160.0
RADIUS,26513,1750,2017-05-08,1.0,857.5
RADIUS,0,750,2017-05-08,,367.5
RADIUS,53005,375,2017-05-08,,240.0
RADIUS,40364,75,2017-05-08,,56.25
RADIUS,213733,125,2017-05-08,,80.0
RADIUS,69217,250,2017-05-08,,160.0
RADIUS,45094,500,2017-05-08,1.0,245.0
RADIUS,80366,750,2017-05-08,1.0,122.5
RADIUS,64925,375,2017-05-08,,240.0
RADIUS,213632,500,2017-05-08,2.0,320.0
RADIUS,62018,375,2017-05-08,,240.0
BULK,84325,3000,2017-05-15,10.0,1396.8
BULK,71258,3000,2017-05-15,4.0,1396.8
BULK,75419,3000,2017-05-15,8.0,1396.8
RADIUS,36197,750,2017-05-15,3.0,367.5
RADIUS,69908,750,2017-05-15,2.0,367.5
RADIUS,213939,125,2017-05-15,,80.0
RADIUS,26337,75,2017-05-15,,56.25
RADIUS,45500,125,2017-05-15,1.0,80.0
RADIUS,65925,750,2017-05-15,2.0,367.5
RADIUS,73235,525,2017-05-15,3.0,393.75
RADIUS,24146,500,2017-05-15,,320.0
RADIUS,26513,750,2017-05-15,3.0,367.5
RADIUS,0,375,2017-05-15,5.0,183.75
RADIUS,53005,500,2017-05-15,3.0,320.0
RADIUS,213907,125,2017-05-15,,80.0
RADIUS,16012,450,2017-05-15,1.0,337.5
RADIUS,40364,450,2017-05-15,4.0,337.5
RADIUS,7.01331e+09,125,2017-05-15,,80.0
RADIUS,69217,125,2017-05-15,2.0,80.0
RADIUS,69082,375,2017-05-15,2.0,183.75
RADIUS,45094,2000,2017-05-15,2.0,980.0
RADIUS,30718,1125,2017-05-15,2.0,551.25
RADIUS,213345,125,2017-05-15,,80.0
RADIUS,80366,1000,2017-05-15,3.0,490.0
RADIUS,67411,750,2017-05-15,,367.5
RADIUS,64925,250,2017-05-15,,160.0
RADIUS,213632,250,2017-05-15,,160.0
RADIUS,62018,375,2017-05-15,,240.0
BULK,75894,3000,2017-05-15,9.0,1269.9
GENERIC,213569,10000,2017-05-15,47.0,3950.0
GENERIC,213524,8297,2017-05-15,36.0,3277.32
RADIUS,70029,250,2017-05-15,,111.38
RADIUS,73093,125,2017-05-15,1.0,72.73
RADIUS,70396,750,2017-05-15,1.0,334.13
RADIUS,7.00004e+09,125,2017-05-15,,72.73
RADIUS,88348,150,2017-05-15,,102.27
RADIUS,0,125,2017-05-15,,72.73
RADIUS,73311,125,2017-05-15,6.0,72.73
RADIUS,72601,250,2017-05-15,,145.45
RADIUS,86368,375,2017-05-15,2.0,218.18
RADIUS,218031,125,2017-05-15,,72.73
RADIUS,79633,375,2017-05-15,,167.06
BULK,68611,3490,2017-05-15,26.0,1624.94
BULK,51006,3000,2017-05-15,11.0,1269.9
BULK,69147,3000,2017-05-15,7.0,1269.9
